gen	nevals	avg     	std      	min     	max    
0  	12    	0.995281	0.33477  	0.630867	1.65773
1  	7     	1.20611 	0.274503 	0.751209	1.60325
2  	9     	1.42742 	0.208279 	0.813339	1.62677
3  	2     	1.56724 	0.0915551	1.36311 	1.62677
4  	9     	1.50359 	0.24764  	0.715475	1.69782
5  	7     	1.57873 	0.135642 	1.19468 	1.69782
6  	5     	1.65373 	0.0620843	1.54578 	1.71806
7  	10    	1.58752 	0.130843 	1.31464 	1.77182
8  	6     	1.54927 	0.343536 	0.634753	1.81521
[[3, 83, 157]]
gen	nevals	avg    	std     	min     	max    
0  	12    	1.22234	0.593992	0.568275	2.86174
1  	10    	1.7967 	0.626005	1.03369 	2.97433
2  	8     	2.23484	0.555643	1.38648 	3.08291
3  	4     	2.61366	0.341152	1.87471 	3.0898 
4  	6     	2.65562	0.429741	1.45951 	3.0898 
5  	8     	2.79572	0.204145	2.54809 	3.09079
6  	6     	2.55106	0.734528	0.817861	3.09079
7  	4     	2.69839	0.660642	1.03238 	3.09079
8  	6     	2.96215	0.178878	2.48991 	3.09079
[[3, 20, 85]]
gen	nevals	avg    	std     	min     	max    
0  	12    	1.08266	0.380941	0.587812	1.95165
1  	6     	1.27853	0.361775	0.894736	1.95165
2  	6     	1.72247	0.322613	0.940816	2.0899 
3  	5     	1.79197	0.316404	0.829098	2.0899 
4  	8     	1.87443	0.237344	1.25646 	2.26583
5  	11    	1.92872	0.164154	1.66475 	2.26042
6  	10    	1.88453	0.374113	1.19644 	2.71393
7  	6     	2.26164	0.36049 	1.83454 	2.82634
8  	8     	2.4863 	0.513775	0.993333	3.00131
[[4, 12, 131]]
gen	nevals	avg    	std     	min     	max    
0  	12    	1.24499	0.46267 	0.227147	1.94763
1  	12    	1.50355	0.507612	0.654641	2.47583
2  	8     	1.99973	0.442774	1.17049 	2.81771
3  	7     	2.35329	0.564638	0.984447	2.81771
4  	8     	2.64994	0.368546	1.58444 	3.15478
5  	7     	2.90167	0.26937 	2.48352 	3.42867
6  	7     	2.80006	0.749737	1.08247 	3.42867
7  	3     	2.96715	0.720276	0.734926	3.42867
8  	5     	3.1325 	0.259583	2.67508 	3.42867
[[3, 15, 101]]
gen	nevals	avg    	std     	min    	max    
0  	12    	1.34697	0.529378	0.59392	2.64583
1  	6     	1.76405	0.363412	1.46836	2.64583
2  	4     	1.81539	0.337519	1.58796	2.64583
3  	5     	1.93987	0.505625	1.05633	2.64583
4  	8     	2.29914	0.550148	1.44999	3.35736
5  	8     	2.44046	0.394831	1.26529	2.96425
6  	4     	2.53552	0.365717	1.75274	2.96425
7  	8     	2.7252 	0.294001	2.26593	3.17605
8  	8     	3.09121	0.471757	2.14471	3.8242 
[[3, 16, 73]]
gen	nevals	avg    	std     	min    	max    
0  	15    	2.6219 	1.14735 	1.45971	5.25105
1  	7     	3.10432	1.39278 	1.44952	7.37891
2  	7     	4.87353	1.85571 	2.04995	7.37891
3  	6     	6.75788	1.30943 	3.60126	7.97734
4  	9     	7.34576	0.370778	6.70373	8.14998
5  	10    	7.27965	1.17432 	3.03137	8.14998
6  	3     	7.51948	1.12566 	3.35501	8.14998
7  	7     	7.45973	1.19805 	3.16469	8.56158
8  	7     	7.68934	0.522335	7.06304	8.56158
9  	7     	7.78201	0.506233	6.86768	8.56158
10 	11    	7.3399 	1.5103  	2.04435	8.56158
[[4, 16, 26]]
