gen	nevals	avg    	std     	min     	max    
0  	12    	1.50745	0.665036	0.147923	2.92243
1  	3     	1.99477	0.499046	1.18719 	2.92243
2  	8     	2.24782	0.322251	1.74647 	2.92243
3  	9     	2.55774	0.179291	2.30661 	2.93352
4  	9     	2.55966	0.416784	1.25431 	2.86605
5  	6     	2.63739	0.153122	2.34962 	2.83602
6  	3     	2.64534	0.228069	2.13977 	2.83602
7  	3     	2.75376	0.125747	2.43693 	2.83602
8  	9     	2.61012	0.330161	1.60731 	2.97808
[[5, 58, 139]]
gen	nevals	avg    	std      	min     	max    
0  	12    	1.98521	0.910308 	0.912639	4.50871
1  	10    	2.33514	0.282501 	1.59599 	2.6194 
2  	9     	2.32021	0.313941 	1.63141 	2.6194 
3  	5     	2.19509	0.480643 	1.26242 	2.6194 
4  	4     	2.56959	0.0701558	2.37948 	2.6194 
5  	5     	2.52289	0.127303 	2.25991 	2.6194 
6  	6     	2.33731	0.416776 	1.18575 	2.6194 
7  	3     	2.48333	0.341893 	1.36256 	2.64477
8  	7     	2.56089	0.107015 	2.3072  	2.72352
[[4, 18, 47]]
gen	nevals	avg    	std     	min     	max    
0  	12    	1.70434	0.46316 	1.13359 	2.48276
1  	7     	1.98465	0.455007	0.931942	2.53952
2  	8     	2.47935	0.175691	2.26996 	2.91823
3  	5     	2.47832	0.244551	1.78995 	2.91823
4  	6     	2.52585	0.251598	1.95285 	2.91823
5  	3     	2.60653	0.364153	1.99434 	2.91823
6  	3     	2.81158	0.287935	1.90832 	2.97703
7  	7     	2.70267	0.427422	1.53518 	3.135  
8  	7     	2.69652	0.454586	1.36901 	3.135  
[[3, 35, 62]]
gen	nevals	avg    	std     	min     	max    
0  	12    	1.60693	0.737964	0.375388	3.29038
1  	10    	2.30451	0.703494	1.18136 	4.04621
2  	7     	3.04123	0.782359	1.69378 	4.71833
3  	4     	3.32184	0.805651	1.24858 	4.46456
4  	6     	3.25419	1.02963 	0.998174	4.46456
5  	10    	3.57535	0.853931	1.28941 	4.46164
6  	6     	3.94809	0.868857	1.11653 	4.46164
7  	1     	4.06584	0.845321	1.29345 	4.46164
8  	2     	4.35341	0.148092	4.00405 	4.46164
[[4, 16, 41]]
gen	nevals	avg    	std     	min    	max    
0  	12    	1.75325	0.650737	1.02951	3.24786
1  	8     	2.25278	0.89194 	1.32086	4.55327
2  	6     	2.98132	1.07416 	1.52724	4.55327
3  	9     	3.21343	1.27223 	0.56134	4.6828 
4  	8     	4.3916 	0.679273	2.60221	5.29722
5  	7     	4.5217 	0.598844	3.01901	5.29722
6  	8     	4.54115	0.853719	1.77992	5.01785
7  	9     	4.69806	0.347635	4.08465	5.06975
8  	6     	4.73136	0.401831	3.68646	5.06975
[[4, 15, 69]]
gen	nevals	avg    	std     	min    	max    
0  	15    	4.22094	1.62768 	2.47368	9.62634
1  	5     	5.28888	1.88558 	2.9462 	9.62634
2  	8     	6.3352 	2.32831 	2.88341	9.62634
3  	9     	8.80657	1.53806 	4.85108	9.84881
4  	7     	8.71282	2.11299 	2.05067	9.84881
5  	12    	8.69563	2.00105 	1.28478	9.6764 
6  	9     	8.69549	1.62806 	4.07235	9.70169
7  	4     	9.3844 	0.185817	9.06245	9.70169
8  	7     	8.5526 	2.44026 	2.1427 	10.0103
9  	9     	8.91109	2.05589 	2.41113	11.1056
10 	11    	9.80396	0.735418	8.85249	11.1176
[[4, 20, 50]]
