gen	nevals	avg    	std      	min     	max    
0  	12    	1.38317	0.509224 	0.667064	2.2104 
1  	6     	2.04974	0.194754 	1.63088 	2.32563
2  	4     	2.10051	0.284399 	1.29912 	2.32563
3  	3     	2.202  	0.253921 	1.41661 	2.37931
4  	3     	2.32148	0.0241063	2.27339 	2.37931
5  	6     	2.19406	0.391688 	0.901855	2.37931
6  	7     	2.2523 	0.196471 	1.65075 	2.44117
7  	4     	2.36822	0.0955141	2.14003 	2.49377
8  	6     	2.23728	0.500861 	0.691983	2.49377
[[4, 81, 178]]
gen	nevals	avg    	std      	min     	max    
0  	12    	1.21164	0.506993 	0.690247	2.15256
1  	4     	1.63832	0.539674 	0.809382	2.31486
2  	4     	2.11714	0.163472 	1.78782 	2.31486
3  	6     	2.23034	0.104298 	1.97502 	2.34228
4  	8     	2.24063	0.121561 	1.85467 	2.31486
5  	5     	2.18229	0.264363 	1.33776 	2.31486
6  	7     	2.27043	0.0996668	2.06316 	2.46938
7  	4     	2.3278 	0.123904 	2.10855 	2.49144
8  	8     	2.28931	0.154811 	2.00027 	2.49144
[[3, 40, 82]]
gen	nevals	avg    	std     	min     	max    
0  	12    	1.28248	1.01734 	0.558725	4.44639
1  	7     	1.85798	1.15824 	0.658859	4.1863 
2  	5     	2.04273	0.801641	0.633391	4.1863 
3  	5     	2.41472	1.17074 	0.738538	4.1863 
4  	4     	3.15702	0.880675	2.00707 	4.29072
5  	5     	3.91556	0.535997	2.37823 	4.59521
6  	10    	3.62485	1.09633 	0.763909	4.59521
7  	3     	4.24701	0.299948	3.76939 	4.59521
8  	3     	4.49258	0.108502	4.2196  	4.59521
[[4, 14, 48]]
gen	nevals	avg    	std      	min     	max    
0  	12    	1.09636	0.384405 	0.549323	1.66149
1  	4     	1.52161	0.247326 	0.744723	1.66149
2  	8     	1.59906	0.156621 	1.17234 	1.75651
3  	5     	1.6612 	0.0754908	1.46426 	1.7618 
4  	9     	1.55742	0.276689 	0.795357	1.78137
5  	2     	1.75907	0.471968 	0.83828 	3.09216
6  	2     	2.09594	0.575421 	1.74958 	3.09216
7  	6     	2.2075 	0.789071 	0.565979	3.09216
8  	5     	2.53306	0.872032 	0.400207	3.17795
[[5, 14, 104]]
gen	nevals	avg    	std     	min     	max    
0  	12    	1.03483	0.416955	0.342661	1.87785
1  	6     	1.41179	0.450138	0.707276	1.96306
2  	5     	1.59301	0.382007	0.903927	1.99245
3  	6     	1.65329	0.429756	0.6053  	2.05253
4  	8     	1.81134	0.322394	0.794042	2.06381
5  	9     	1.88777	0.142169	1.69182 	2.15024
6  	6     	2.00196	0.105954	1.82612 	2.15024
7  	5     	2.03679	0.11225 	1.86986 	2.30787
8  	10    	2.06659	0.358272	1.00721 	2.36943
[[4, 83, 154]]
gen	nevals	avg    	std     	min     	max    
0  	15    	3.11441	1.2807  	0.524899	5.76033
1  	8     	4.39302	1.0787  	2.478   	6.4241 
2  	8     	5.49521	0.709934	3.96015 	6.97371
3  	6     	6.05826	0.491764	5.24435 	6.97371
4  	10    	6.84805	1.02243 	3.57356 	8.36372
5  	6     	7.07241	1.1162  	3.52682 	8.36372
6  	10    	7.17579	1.25806 	2.90707 	8.5305 
7  	4     	7.54706	0.977653	4.36194 	8.36372
8  	8     	7.65063	1.35126 	3.37399 	9.26923
9  	10    	7.49637	1.50052 	3.13715 	9.26923
10 	8     	7.87203	0.897652	6.34218 	9.26923
[[3, 14, 45]]
