gen	nevals	avg    	std     	min     	max    
0  	52    	1.5063 	0.385008	0.680665	2.15271
1  	36    	1.72014	0.387596	0.490458	2.1203 
2  	38    	1.75595	0.420083	0.491473	2.13202
3  	33    	1.93856	0.234144	1.09486 	2.12119
4  	32    	1.84625	0.416557	0.438923	2.17285
5  	32    	1.94213	0.331204	0.544655	2.17285
6  	36    	1.9775 	0.206586	1.04829 	2.17285
7  	35    	1.91017	0.346796	0.260958	2.19622
8  	34    	1.88582	0.411941	0.348981	2.19622
9  	25    	2.00882	0.304385	0.775156	2.19622
10 	31    	1.95569	0.352541	0.671335	2.23454
[[7, 68, 177]]
