gen	nevals	avg    	std     	min     	max    
0  	55    	1.74381	0.448521	0.438008	2.49644
1  	34    	2.01536	0.371741	0.429092	2.49644
2  	31    	2.22582	0.237159	1.61042 	2.57328
3  	27    	2.34282	0.172623	1.78026 	2.60579
4  	25    	2.38662	0.16334 	1.77864 	2.60579
5  	28    	2.37581	0.332706	0.872296	2.60579
6  	29    	2.46942	0.138075	1.93739 	2.60579
7  	32    	2.4017 	0.356569	0.693845	2.661  
8  	29    	2.41441	0.406687	0.458134	2.68898
9  	19    	2.50382	0.210873	1.74818 	2.68898
10 	34    	2.38483	0.344644	1.3059  	2.68898
[[6, 73, 163]]
